z,mean,median,mode
0.002,3.1315365489868063,2.0,2.0
0.004,4.7927612432187985,4.0,2.0
0.006,7.134987055856944,4.0,4.0
0.008,8.13249334725364,6.0,4.0
0.01,10.047395471222401,8.0,6.0
0.012,11.885339264455814,8.0,6.0
0.014,13.296000399568046,10.0,8.0
0.016,15.123973116030184,10.0,8.0
0.018000000000000002,16.823696887076462,12.0,10.0
0.02,18.421779029530654,14.0,10.0
0.022,20.172822410199778,14.0,10.0
0.024,21.85040957583413,16.0,12.0
0.026000000000000002,23.517052140034696,16.0,12.0
0.028,25.231331458660076,18.0,14.0
0.03,26.914610612831854,20.0,14.0
0.032,28.60387888295941,20.0,16.0
0.034,30.30578398680693,22.0,16.0
0.036000000000000004,31.997479407855295,22.0,18.0
0.038,33.69472732808645,24.0,18.0
0.04,35.39505283689812,26.0,20.0
0.042,37.09325979624154,26.0,20.0
0.044,38.79476377016337,28.0,22.0
0.046,40.49742649102143,30.0,22.0
0.048,42.20056813064271,30.0,24.0
0.05,43.90569923389459,32.0,24.0
0.052000000000000005,45.61185767662092,34.0,26.0
0.054,47.319160380071345,34.0,28.0
0.056,49.02792298157527,36.0,28.0
0.058,50.73781865285182,36.0,30.0
0.06,52.44896882569362,38.0,30.0
0.062,54.16140181820266,40.0,32.0
0.064,55.87502822559675,40.0,32.0
0.066,57.58989720375468,42.0,34.0
0.068,59.30599278939971,44.0,34.0
0.07,61.023293678543375,44.0,36.0
0.07200000000000001,62.741810809034206,46.0,36.0
0.074,64.46153060353193,48.0,38.0
0.076,66.18244587077982,48.0,38.0
0.078,67.9045542724943,50.0,40.0
0.08,69.62784684239801,52.0,42.0
0.082,71.35231817303332,52.0,42.0
0.084,73.07796250657886,54.0,44.0
0.08600000000000001,74.80477271920057,56.0,44.0
0.088,76.53274287005871,56.0,46.0
0.09,78.26186664867608,58.0,46.0
0.092,79.99213766545893,60.0,48.0
0.094,81.72354959460559,60.0,48.0
0.096,83.45609592290248,62.0,50.0
0.098,85.18977044230432,64.0,52.0
0.1,86.92456683801426,64.0,52.0
0.10200000000000001,88.66047858506457,66.0,54.0
0.10400000000000001,90.39749924229665,68.0,54.0
0.106,92.13562232642471,68.0,56.0
0.108,93.87484150265868,70.0,58.0
