Index,Burst energy,Burst energy error,Burst width (ms),FRB,Fluence,Fluence error,Linear polarisation fraction,Linear polarisation fraction error,RM,RM error,RM_EG,RM_EG error,RM_MW,RM_MW error,Tau_obs (ms),Tau_obs error,Total polarisation fraction,Total polarisation fraction error,log(1+z),log(Burst energy),log(Burst energy) error,log(abs(RM)),log(abs(RM)) error,log(abs(RM_EG)),log(abs(RM_EG)) error,log(abs(RM_MW)),log(abs(RM_MW)) error,z,DM_IGM,log(DM_IGM)
0,39351157.595654875,2459447.3497284297,2.4761904761904763,20180924B,16.0,1.0,0.8659429692719508,0.14383024946894257,-9.0,2.0,-25,5,16,5,0.6653375841088133,0.018192152628174946,0.924006461785568,0.15279941953935938,0.1209685650193765,0.027143405118953235,,0.9542425094393248,0.0965098848673892,1.3979400086720375,0.0868588963806503,1.2041199826559248,0.1357170255947661,0.3212,193.2,2.2860071220794747
1,125198832.28344952,619796.1994230174,1.2342857142857142,20181112A,20.2,0.1,1.0777655445470615,0.05524427507490179,10.5,0.4,-6,6,16,6,0.013462728805489307,0.002852220700247812,1.184594144600888,0.04840369758875319,0.1689392138359783,0.002149972682689365,,1.021189299069938,0.0165445516915524,0.7781512503836436,0.4342944819032517,1.2041199826559248,0.1628604307137194,0.4755,303.5,2.482158695411276
2,27451923.40874961,1960851.6720535436,0.18285714285714286,20190102C,14.0,1.0,0.7962241013927526,0.21885881107355898,112.7,0.4,86,8,27,8,0.0,0.0,0.8037839988661795,0.22093288926428817,0.1109935173779951,0.03102103442166084,,2.0519239160461065,0.0015414178594614,1.934498451243568,0.0403994866886745,1.4313637641589874,0.1286798464898523,0.2912,173.20000000000005,2.238547887681328
3,6817894.436397001,1048906.8363687694,13.142857142857144,20190608B,26.0,4.0,1.033720997249053,0.140792811908656,-353.0,1.0,-330,10,-20,10,3.4226299008184538,0.1788271115652373,1.0668183620103389,0.14490147372918524,0.0483641052798862,0.06681453567742336,,2.5477747053878224,0.0012302959827287,2.5185139398778875,0.013160438845553,1.3010299956639813,0.2171472409516258,0.1178,62.0,1.792391689498254
4,35927128.33687284,7185425.667374568,1.3047619047619048,20190611B,10.0,2.0,0.9178945852946544,0.3740828435722137,-17.0,2.0,-50,10,30,10,0.0,0.0,1.1248764211775488,0.4565138655536885,0.139186180416129,0.08685889638065036,,1.230448921378274,0.051093468459206,1.6989700043360187,0.0868588963806503,1.4771212547196624,0.1447648273010839,0.3778,233.8,2.3688445068258215
5,263589109.54961908,23257862.607319333,8.190476190476192,20190711A,34.0,3.0,0.9899115458007288,0.060943752085029196,-8.9,0.6,-28,7,19,6,0.0,0.0,0.9979632788454875,0.06130029743353667,0.182414652434554,0.03832010134440457,,0.9493900066449128,0.0292782796788709,1.4471580313422192,0.1085736204758129,1.2787536009528289,0.1371456258641847,0.522,338.0,2.5289167002776547
6,170268881.9661228,17860372.23420869,17.523809523809526,20191001A,143.0,15.0,0.5596244235322346,0.01742270083193213,-53.8,0.2,-77,4,23,4,3.2601640643469167,0.12800223225083776,0.5728978495821834,0.017668016567597724,0.0913151596972228,0.045555365234606834,,1.730782275666389,0.0016144776278931,1.8864907251724816,0.0225607523066624,1.3617278360175928,0.075529475113609,0.234,134.0,2.1271047983648077
7,,,22.0952380952381,20191228B,,,0.8992647474512449,0.05413651249809268,-13.9,0.8,-32,6,18,6,6.007713109814918,0.1483311313882463,0.9544453976452404,0.05658264270340123,,,,1.1430148002540952,0.0249953658649353,1.505149978319906,0.0814302153568597,1.255272505103306,0.1447648273010839,,,
8,18060583.959899034,2064066.7382741752,26.0952380952381,20200430A,35.0,4.0,0.4809995160640063,0.07040162253359895,-195.3,0.7,-210,7,15,7,7.041717741956316,0.20356645135762663,0.5260470947297299,0.036536602731500584,0.0647573994296794,0.04963365507465735,,2.2907022432878543,0.0015566110462482,2.322219294733919,0.0144764827301083,1.1760912590556811,0.2026707582215175,0.1608,88.8,1.948412965778601
9,35233184.09824319,18595291.607406132,3.2380952380952386,20210117A,36.0,19.0,0.9518849827399637,0.09356863867419302,43.7,0.8,40,9,3,9,0.0,0.0,0.9622736562122373,0.09455211191706263,0.0843975191411493,0.2292109765600496,,1.640481436970422,0.0079504710645904,1.6020599913279625,0.0977162584282316,0.4771212547196624,1.3028834457097551,0.2145,122.5,2.0881360887005513
10,37536954.82033691,28599584.625018597,0.8571428571428572,20210320C,21.0,16.0,0.7562754157890479,0.10953927675062497,-289.3,0.1,-287,6,-3,6,0.0,0.0,0.7816270156317263,0.11317937877440898,0.1071081699485539,0.33089103383104895,,2.461348433647983,0.0001501190742838,2.4578818967339924,0.0090793271478031,0.4771212547196624,0.8685889638065035,0.2797,165.7,2.219322508419337
11,,,1.2380952380952381,20210407E,31.0,8.0,0.9112438429554235,0.27099653347747094,10.0,1.0,70,30,-60,30,0.06816062969797136,0.015278363423076662,0.9440786256661511,0.28047931660358144,,,,1.0,0.0434294481903251,1.845098040014257,0.186126206529965,1.7781512503836436,0.2171472409516258,,,
12,,,,20210912A,90.0,15.0,,,7.1,0.2,-1,4,8,4,,,,,,,,0.8512583487190752,0.0122336473775563,0.0,1.737177927613007,0.9030899869919436,0.2171472409516258,,,
13,,,,20210912A,90.0,15.0,,,-9.1,0.8,-18,4,8,4,,,,,,,,0.9590413923210936,0.0381797346728133,1.255272505103306,0.0965098848673892,0.9030899869919436,0.2171472409516258,,,
14,3190551.796634125,2127034.5310894167,6.2857142857142865,20211212A,36.0,24.0,0.5101611576242768,0.05781791618250636,-30.0,3.0,-36,6,6,6,1.6892865977642995,0.04611309548166224,0.550397731030868,0.06157699654041297,0.0296678026753228,0.28952965460216784,,1.4771212547196624,0.0434294481903251,1.5563025007672873,0.0723824136505419,0.7781512503836436,0.4342944819032517,0.0707,36.0,1.5563025007672873
15,109939855.10439941,3664661.836813314,6.190476190476191,20220501C,30.0,1.0,0.6582626128489815,0.05876088485064727,-35.9,0.3,-46,5,10,5,0.6023336775133767,0.10188837213737108,0.6721888160867086,0.059938890819437395,0.1401936785786313,0.014476482730108393,,1.5550944485783191,0.0036292017986344,1.662757831681574,0.0472059219460056,1.0,0.2171472409516258,0.381,235.0,2.3710678622717363
16,1696507797.6788635,197268348.5673097,1.980952380952381,20220610A,43.0,5.0,0.9534243939716016,0.122941595709104,-216.0,0.4,-228,5,12,5,0.48385834432810854,0.017463354183062576,0.9642686407459382,0.12432819532179708,0.3042750504771281,0.05049935836084323,,2.3344537511509307,0.0008042490405615,2.357934847000454,0.0095240017961239,1.0791812460476249,0.1809560341263549,1.015,722.9999999999999,2.859138297294531
17,76922428.81686574,240767202.19678977,8.761904761904763,20220725A,100.0,313.0,0.6620401374913295,0.10163608415597512,25.2,0.6,15,4,10,3,2.2829817347095682,0.10977510369135293,0.726548152438856,0.11028624905762917,0.0764948050097204,1.359341728357178,,1.4014005407815442,0.0103403448072202,1.1760912590556811,0.1158118618408671,1.0,0.1302883445709755,0.1926,108.6,2.035829825252828
18,367735165.8896844,13372187.850533977,38.095238095238095,20220918A,55.0,2.0,0.28169860642393113,0.060369068332629484,-480.0,10.0,-500,10,15,9,10.245350868392153,0.6692515214241544,0.4280402822350797,0.06105842160581363,0.173419384081802,0.0157925266146637,,2.681241237375587,0.0090478017063177,2.6989700043360187,0.008685889638065,1.1760912590556811,0.2605766891419511,0.4908,314.8,2.498034723687027
19,69965809.20651446,13118589.22622146,12.685714285714287,20221106A,80.0,15.0,0.8717498460038241,0.03349119684616715,-447.0,1.0,-480,10,40,10,0.07236859472354712,0.019082246177899432,0.9041225367035655,0.03436304584372459,0.0806264869218057,0.08143021535685971,,2.6503075231319366,0.0009715760221549,2.681241237375587,0.0090478017063177,1.6020599913279625,0.1085736204758129,0.204,116.0,2.0644579892269186
20,16646825.524470873,489612.5154256139,4.571428571428572,20230526A,34.0,1.0,0.4115377826213621,0.03494387126991042,-613.0,2.0,-622,6,10,6,1.2374702275689426,0.020198155771474224,0.4379820473490155,0.036557352540597395,0.0633333589517495,0.012773367114801523,,2.787460474518415,0.0014169477386729,2.7937903846908188,0.004189335838295,1.0,0.2605766891419511,0.157,86.0,1.9344984512435677
21,13929578.817771636,204846.74732017113,26.685714285714287,20230708A,68.0,1.0,0.9438367094246609,0.029239058234227278,6.6,0.1,-40,10,40,10,0.13749851877334698,0.01935764319263643,1.1473675125415395,0.033451443189563924,0.0433622780211295,0.006386683557400762,,0.8195439355418687,0.0065802194227765,1.6020599913279625,0.1085736204758129,1.6020599913279625,0.1085736204758129,0.105,55.0,1.7403626894942439
22,1826764.8087840842,8166713.262799434,,20230718A,85.0,380.0,,,-243.1,0.9,-430,50,190,50,,,,,0.0152339762467084,1.9415518014498312,,2.3857849588433355,0.0016078364200449,2.633468455579586,0.0504993583608432,2.278753600952829,0.1142880215534873,0.0357,17.700000000000003,1.2479732663618066
