FRB,DM_obs (pc cm^-3),DM_MW (NE2001),Galactic lat,Tau_obs (ms),Components
20180924B,362.16 \(\pm\) 0.01,40.50 \(\pm\) 0.81,-49.41,0.67 \(\pm\) 0.02,1
20181112A,589.27 \(\pm\) 0.03,41.72 \(\pm\) 0.98,-47.7,0.01 \(\pm\) 0.00,10
20190608B,340.05 \(\pm\) 0.60,37.27 \(\pm\) 0.51,-48.53,3.42 \(\pm\) 0.18,2
20191001A,507.00 \(\pm\) 0.07,44.17 \(\pm\) 1.23,-44.9,3.26 \(\pm\) 0.13,3
20191228B,298.00,32.95 \(\pm\) 0.38,-64.92,6.01 \(\pm\) 0.15,1
20200430A,380.25,27.18 \(\pm\) 0.73,52.5,7.04 \(\pm\) 0.20,1
20210407E,1785.30,153.93 \(\pm\) 8.22,-6.71,0.07 \(\pm\) 0.02,10
20211127I,234.97 \(\pm\) 1.00,42.47 \(\pm\) 1.22,43.54,0.04 \(\pm\) 0.00,10
20211212A,209.00 \(\pm\) 1.00,38.75 \(\pm\) 0.70,47.32,1.69 \(\pm\) 0.05,1
20220501C,449.50,30.60 \(\pm\) 0.29,-71.55,0.60 \(\pm\) 0.10,10
20220610A,1458.10 \(\pm\) 0.20,30.96 \(\pm\) 0.29,-70.19,0.48 \(\pm\) 0.02,2
20220725A,290.40,71.12 \(\pm\) 4.25,-19.21,2.28 \(\pm\) 0.11,1
20220918A,656.00,40.74 \(\pm\) 0.79,-46.23,10.25 \(\pm\) 0.67,1
20221106A,343.00,34.79 \(\pm\) 0.39,-50.88,0.07 \(\pm\) 0.02,10
20230526A,316.15,31.86 \(\pm\) 0.33,-63.47,1.24 \(\pm\) 0.02,1
20230708A,411.51,60.25 \(\pm\) 2.42,-33.38,0.14 \(\pm\) 0.02,17
