FRB,DM,RM,Scattering Time Scale,Host Properties
20121102A,Y,N,N,Y
20180301A,Y,N,N,Y
20180916B,Y,N,N,Y
20180924B,Y,Y,Y,Y
20181112A,Y,Y,Y,Y
20190102C,Y,Y,Y,Y
20190520B,Y,N,N,Y
20190608B,Y,Y,Y,Y
20190611B,Y,Y,Y,Y
20190711A,Y,Y,Y,Y
20190714A,Y,N,N,Y
20191001A,Y,Y,Y,Y
20191228B,Y,N,Y,N
20200430A,Y,Y,Y,Y
20200906A,Y,N,N,Y
20201124A,Y,N,N,Y
20210117A,Y,Y,Y,Y
20210320C,Y,Y,Y,Y
20210407E,Y,N,Y,N
20210410D,Y,N,N,Y
20210807D,Y,N,N,Y
20211127I,Y,Y,Y,Y
20211203C,Y,N,N,Y
20211212A,Y,N,Y,Y
20220105A,Y,N,N,Y
20220501C,Y,N,Y,N
20220610A,Y,N,Y,N
20220725A,Y,N,Y,N
20220918A,Y,N,Y,N
20221106A,Y,N,Y,N
20230526A,Y,N,Y,N
20230708A,Y,N,Y,N
Total,32,11,21,23
