Index,FRB,RA,DEC,Galactic lon,Galactic lat,abs(Galactic lat),z,log(1+z),Repeater,Host magnitude (AB),MF/Mo,MF/Mo error,log(MF/Mo),log(MF/Mo) error,Z*/Zo,Z*/Zo error,log(Z*/Zo),log(Z*/Zo) error,Av_old (mag),Av_old error,Av_young (mag),Av_young error,Zgas/Zo,Zgas/Zo error,log(Zgas/Zo),log(Zgas/Zo) error,SFR 0-100 Myr (Mo yr-1),SFR error,log(SFR),log(SFR) error,M*/Mo,M*/Mo error,log(M*/Mo),log(M*/Mo) error,SFR/M,SFR/M error,log(SFR/M),log(SFR/M) error,tm (Gyr),tm error,log(tm),log(tm) error,DM_MW (NE2001),DM_MW error (NE2001),log(DM_MW) (NE2001),log(DM_MW) error (NE2001),DM_MW (YMW16),DM_MW error (YMW16),DM_IGM,log(DM_IGM),DM_obs (pc cm^-3),DM_obs error,log(DM_obs),DM_ex (NE2001),DM_ex error (NE2001),log(DM_ex),log(DM_ex) error,RM_MW (rad/m^2),RM_MW error,abs(RM_MW),abs(RM_MW) error,log(abs(RM_MW)),log(abs(RM_MW)) error,RM_obs (rad/m^2),RM_obs error,abs(RM_obs),abs(RM_obs) error,log(abs(RM_obs)),log(abs(RM_obs)) error,RM_ex (rad/m^2),RM_ex error,abs(RM_ex),abs(RM_ex) error,log(abs(RM_ex)),log(abs(RM_ex)) error,Tau_MW (ms),Tau_MW error,log(Tau_MW),log(Tau_MW) error,Tau_obs (ms),Tau_obs error,log(Tau_obs),log(Tau_obs) error,Tau_ex (ms),Tau_ex error,log(Tau_ex),log(Tau_ex) error,Fluence,Fluence error,Burst energy,Burst energy error,log(Burst energy),log(Burst energy) error,Linear polarisation fraction,Linear polarisation fraction error,Total polarisation fraction,Total polarisation fraction error,Burst width (ms),Components
0,20121102A,82.99458875,33.14793156,174.87952928397968,-0.2219299034733183,0.2219299034733183,0.19273,0.0765421429316879,y,23.73,218776162.3949552,52893826.67447218,8.34,0.105,1.288249551693134,0.23730433710278984,0.11,0.08,0.11,0.075,1.1,0.255,0.23988329190194904,0.03590285997946487,-0.62,0.065,0.05,0.015,-1.3010299956639813,0.13028834457097555,138038426.46028867,30195296.18764248,8.14,0.095,3.622179800374945e-10,1.3448467798535175e-10,-9.441029995663982,0.16124531847791815,5.71,1.11,0.756636108245848,0.08442502187611375,188.428,1.1657658980925616,2.275145438488468,0.002686892058147346,,,108.73,2.036349388031838,558.1,1.0,2.7467120225166606,260.942,1.5359069402654437,2.416543986728504,0.002556261195492445,-17.589553833007812,37.33684539794922,17.589553833007812,37.33684539794922,1.2452548235211225,0.9218645385749031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,20180301A,93.22683333,4.671055556,204.33730283440465,-6.3902192311627575,6.3902192311627575,0.33044,0.12399529357626302,y,21.21,6918309709.189363,1991249600.636925,9.84,0.125,0.10232929922807542,0.05654926055498245,-0.99,0.24,0.31,0.145,1.18,0.275,0.4677351412871982,0.04846499837088148,-0.33,0.045,1.91,0.595,0.28103336724772754,0.13529068938870933,4365158322.401666,1105626332.989307,9.64,0.11,4.3755572167864466e-10,1.7567556189990956e-10,-9.358966632752272,0.17436619693986627,4.34,1.195,0.6374897295125107,0.11958108430285389,151.7209,11.301776427992294,2.1810454102492765,0.03235084380847528,,,200.0,2.3010299956639813,536.0,13.0,2.72916478969277,184.27909999999997,17.225857030299604,2.265476082536643,0.040596544341238126,43.62290573120117,18.70622634887696,43.62290573120117,18.70622634887696,1.639714590655714,0.1862326854292927,,,,,,,,,,,,,,,,,,,,,,,,,4.9,0.5,12871798.3225002,1313448.8084183875,7.109639226545335,0.04431576345951548,,,,,,0
2,20180916B,29.50312571,65.71675422,129.71057089277207,3.722887801039828,3.722887801039828,0.0337,0.014394516273535085,y,16.17,13489628825.916561,1397745821.006021,10.13,0.045,0.015848931924611134,0.004196754154791009,-1.8,0.115,0.35,0.04,0.94,0.26,1.5135612484362082,0.6273186422368806,0.18,0.18,0.04,0.025,-1.3979400086720375,0.27143405118953234,8128305161.640995,748644571.8600446,9.91,0.04,4.921075083249526e-12,3.1088890844350874e-12,-11.307940008672038,0.27436553016944687,7.73,1.04,0.888179493918325,0.058430305456582385,198.9803,12.447136092415889,2.298810081310198,0.027167124184831484,,,16.0,1.2041199826559248,348.76,0.1,2.542526668991491,133.7797,12.44753778476379,2.126390217715503,0.040408948242559535,-98.51882934570312,38.940547943115234,98.51882934570312,38.940547943115234,1.9935192426745572,0.1716592168857472,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,48309.032181880124,,4.684028336963249,,,,,,,0
3,20180924B,326.1052292,-40.90002778,0.7421413072544547,-49.41464773463675,49.41464773463675,0.3212,0.12096856501937658,N,20.33,39810717055.34969,2291689090.8263006,10.6,0.025,0.72443596007499,0.06672301769990008,-0.14,0.04,0.11,0.03,1.1,0.275,1.0715193052376064,0.19738115032763598,0.03,0.08,0.62,0.28,-0.20760831050174613,0.19613299182727503,24547089156.850334,1130435231.3791873,10.39,0.02,2.5257577223854983e-11,1.1465798783277247e-11,-10.597608310501746,0.1971500709690918,5.63,0.64,0.7505083948513462,0.04936917733891317,40.4973,0.8126628291131706,1.6074260692840667,0.008715025009858317,27.64859962463379,0.6253543048750455,193.2,2.2860071220794747,362.16,0.01,2.558900481487196,128.46270000000004,0.812724352915687,2.108777045677291,0.002747581218358899,16.270137786865234,5.001073837280273,16.270137786865234,5.001073837280273,1.2113912308607595,0.1334923403583548,8.0,1.0,8.0,1.0,0.9030899869919435,0.05428681023790647,-8.270137786865234,5.100072502026735,8.270137786865234,5.100072502026735,0.9175127452933878,0.26782302810655884,4.9790889009725586e-05,3.862891118097464e-09,-4.302850119384887,3.369355980880602e-05,0.6653375841088133,0.018192152628174946,-0.17695794309530788,0.011874801137141205,0.6653375822457496,0.01819215267911621,-0.17695794431140976,0.01187480120364432,16.0,1.0,39351157.595654875,2459447.3497284297,7.59495751255304,0.027143405118953235,0.8659429692719508,0.14383024946894257,0.924006461785568,0.15279941953935938,2.4761904761904763,1
4,20181112A,327.3484583,-52.97094444,342.5994628776807,-47.69891854120794,47.69891854120794,0.4755,0.1689392138359783,N,21.68,11481536214.968842,1982791059.9943902,10.06,0.075,0.6456542290346555,0.43856877188610954,-0.19,0.295,0.13,0.105,1.16,0.285,0.6760829753919817,0.1868086296917565,-0.17,0.12,1.54,0.82,0.18752072083646307,0.2312477111432899,7413102413.009162,1194850937.632316,9.87,0.07,2.0774028391911526e-10,1.155717609980508e-10,-9.682479279163536,0.2416102313831317,3.82,0.91,0.5820633629117087,0.10345758600313068,41.7195,0.9800735128663676,1.6203390948517564,0.010202435755399732,29.02860450744629,0.6812790388186334,303.5,2.482158695411276,589.27,0.03,2.7703143315310843,244.05049999999994,0.9805325545958288,2.3874797017570084,0.001744884266934374,16.18435287475586,5.944479465484619,16.18435287475586,5.944479465484619,1.20909533898473,0.15951546840491798,13.1,1.0,13.1,1.0,1.1172712956557642,0.033152250526965785,-3.0843528747558597,6.02800432278945,3.0843528747558597,6.02800432278945,0.4891640590002986,0.8487774001811085,6.299600258489387e-05,5.1547610286465794e-09,-4.200687007854388,3.553692581135244e-05,0.013462728805489307,0.002852220700247812,-1.8708669025896338,0.09200985395938327,0.013462581416422701,0.0028522519265136935,-1.8708716572429909,0.0920118686280874,20.2,0.1,125198832.28344952,619796.1994230174,8.097600278273617,0.002149972682689365,1.0777655445470615,0.05524427507490179,1.184594144600888,0.04840369758875319,1.2342857142857142,10
5,20190102C,322.4156667,-79.47569444,312.6538308651889,-33.49294283966422,33.49294283966422,0.2912,0.11099351737799516,N,20.77,7943282347.242822,1646107516.9983668,9.9,0.09,0.0707945784384138,0.06194400557129394,-1.15,0.38,0.2,0.155,1.09,0.29,0.30902954325135906,0.4589605986325431,-0.51,0.645,0.4,0.21,-0.3979400086720376,0.22800460299920716,4897788193.684457,1127757408.3420064,9.69,0.1,8.166951778678129e-11,4.6819075391876455e-11,-10.087940008672037,0.24897007649279074,4.76,1.245,0.6776069527204931,0.11359172898519927,57.3998,2.0009033241152743,1.7589103791741458,0.01513909930844946,43.280242919921875,2.157181893523012,173.20000000000005,2.238547887681328,364.545,0.004,2.5617511459473032,133.9452,2.000907322305447,2.1269271550411717,0.006487600965746193,26.641246795654297,7.668351650238037,26.641246795654297,7.668351650238037,1.425554545716061,0.12500626688144767,-114.3,1.2,114.3,1.2,2.0580462303952816,0.004559522119719179,-140.9412467956543,7.761676174107525,140.9412467956543,7.761676174107525,2.1490381090377766,0.023916725652513356,0.0002667747663024075,5.052009261258268e-08,-3.573855251869036,8.22439009168308e-05,0.0,0.0,,,,,,,14.0,1.0,27451923.40874961,1960851.6720535436,7.438572778532643,0.03102103442166084,0.7962241013927526,0.21885881107355898,0.8037839988661795,0.22093288926428817,0.18285714285714286,10
6,20190520B,240.517775,-11.288147,359.67245376355226,29.90707511562521,29.90707511562521,0.241,0.09377178149872986,y,22.16,1995262314.9688828,436454819.9907133,9.3,0.095,0.028183829312644536,0.02011765622402302,-1.55,0.31,0.15,0.125,1.18,0.3,0.20844908830972886,0.23998588169509055,-0.681,0.5,0.04,0.03,-1.3979400086720375,0.32572086142743883,1202264434.617413,235306874.02389246,9.08,0.085,3.327055084410684e-11,2.5788566342803464e-11,-10.477940008672038,0.33662899395184726,5.27,1.17,0.7218106152125465,0.09641831951172762,60.2141,2.7782459350460686,1.7796981994834031,0.02003811198640597,,,139.0,2.143014800254095,1210.3,0.8,3.082893033288179,1011.0859,2.891133078154654,3.0047880540195178,0.0012418362695894869,-12.4837064743042,9.243451118469238,12.4837064743042,9.243451118469238,1.096343548675718,0.3215695452914259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,20190608B,334.019875,-7.89825,53.20847800532368,-48.530436777791536,48.530436777791536,0.1177805,0.048356528954723914,N,17.41,60255958607.435684,2774889441.070954,10.78,0.02,0.933254300796991,0.08595589763950931,-0.03,0.04,0.08,0.02,1.09,0.215,1.0471285480508996,0.12055512925952505,0.02,0.05,7.03,0.29,0.846955325019824,0.017915419594870984,36307805477.01018,1672036233.0138242,10.56,0.02,1.9362227784467283e-10,1.1970913129063062e-11,-9.713044674980177,0.026850740385700487,7.13,0.955,0.8530895298518656,0.05816987801088436,37.2691,0.5103245653067815,1.5713489052369867,0.005946780112543927,26.622215270996094,0.5556797733634515,62.0,1.792391689498254,340.05,0.6,2.5315427791821987,240.78090000000003,0.7876745279336862,2.381622033442938,0.001420721913645761,-24.380014419555664,13.26694393157959,24.380014419555664,13.26694393157959,1.3870339581458415,0.23633130161659105,350.7,2.0,350.7,2.0,2.5449357658815024,0.0024767292951425822,375.08001441955565,13.416847665665601,375.08001441955565,13.416847665665601,2.574123924031978,0.015534986354184427,5.089931836054766e-05,3.5893194949553253e-09,-4.29328803366,3.062558990289181e-05,3.4226299008184538,0.1788271115652373,0.5343599401188276,0.022691214071643574,3.4226299004399814,0.1788271115850119,0.5343599400708036,0.022691214076661935,26.0,4.0,6815463.611095469,1048532.8632454568,6.83349540336839,0.06681453567742336,1.033720997249053,0.140792811908656,1.0668183620103389,0.14490147372918524,13.142857142857144,2
8,20190611B,320.7455833,-79.39758333,312.9358265128142,-33.28158779419714,33.28158779419714,0.3778,0.13918618041612904,N,22.15,5888436553.555884,1762621409.803672,9.77,0.13,0.14454397707459277,0.1813895197572466,-0.84,0.545,0.45,0.29,1.2,0.29,1.0,0.6101850496434222,0.0,0.265,0.53,0.515,-0.27572413039921095,0.422003128641839,3715352290.971728,1026589776.0495332,9.57,0.12,1.426513446081262e-10,1.4410924894716297e-10,-9.845724130399212,0.43873299463739956,4.45,1.16,0.6483600109809317,0.11320934809163415,57.8281,2.1552811526547733,1.7621389233589086,0.01618636461422817,43.670406341552734,2.004979508465699,233.8,2.3688445068258215,332.63,0.04,2.5219614158002237,41.00189999999998,2.155652301970076,1.6128039820952635,0.022832793105871843,29.02925109863281,10.750741004943848,29.02925109863281,10.750741004943848,1.4628358319761252,0.16083733882607903,14.6,2.4,14.6,2.4,1.1643528557844371,0.07139087373752084,-14.42925109863281,11.015372538202286,14.42925109863281,11.015372538202286,1.1592437910954727,0.33154288304700386,0.000299232026683478,5.306604279453255e-08,-3.5239919259561603,7.701812475602832e-05,0.0,0.0,,,,,,,10.0,2.0,35927128.33687284,7185425.667374568,7.555422505340161,0.08685889638065036,0.9178945852946544,0.3740828435722137,1.1248764211775488,0.4565138655536885,1.3047619047619048,10
9,20190711A,329.41925,-80.358,310.90776788216334,-33.902189782864895,33.902189782864895,0.52172,0.1823347485963061,y,23.54,1949844599.7580414,942833452.9021395,9.29,0.21,0.10232929922807542,0.12605772665381507,-0.99,0.535,0.28,0.2,1.06,0.27,,,,,0.95,0.73,-0.022276394711152253,0.333721022936183,1258925411.794166,550768748.4138411,9.1,0.19,7.546118229880677e-10,6.672532895172365e-10,-9.122276394711152,0.38401786566457086,3.54,1.16,0.5490032620257879,0.14231118616038757,56.4875,2.1488476907920258,1.7519523543392581,0.016521047923195784,42.61176300048828,1.8642864608719243,337.71999999999997,2.528556780601183,587.9,1.0,2.769303460189082,193.69250000000005,2.3701363670097595,2.287112804654708,0.005314284990645268,19.44318962097168,6.481066703796387,19.44318962097168,6.481066703796387,1.2887675116786554,0.14476490540778886,7.6,1.0,7.6,1.0,0.8808135922807914,0.05714401077674365,-11.84318962097168,6.557760716819283,11.84318962097168,6.557760716819283,1.073468682812081,0.2404756981947961,0.00027281579329939366,4.5816744767155236e-08,-3.564130491991212,7.293551150577554e-05,0.0,0.0,,,,,,,34.0,3.0,263249010.09056136,23227853.831520118,8.420366746759651,0.03832010134440456,0.9899115458007288,0.060943752085029196,0.9979632788454875,0.06130029743353667,8.190476190476192,16
