Index,AGN,"Av,old (mag)","Av,old error","Av,young (mag)","Av,young error",Burst width (ms),DEC,DM_IGM,DM_IGM error,DM_MW (NE2001),DM_MW (YMW16),DM_MW error (NE2001),DM_MW error (YMW16),DM_ex (NE2001),DM_ex error (NE2001),DM_obs (pc cm^-3),FRB,Galactic lat,Galactic lon,Host magnitude (AB),Linear polarisation fraction,Linear polarisation fraction error,RA,RM_MW (rad/m^2),RM_MW error,Repeater,SC_ex,SC_ex error,SFR 0-100 Myr (Mo yr-1),SFR error,Scattering timescale (ms),Scattering timescale error,Tau_SC (ms) (YMW16),Tau_SC error (YMW16),Total polarisation fraction,Total polarisation fraction error,log(M*/Mo),log(M*/Mo) error,log(MF/Mo),log(MF/Mo) error,log(Z*/Zo),log(Z*/Zo) error,log(Zgas/Zo),log(Zgas/Zo) error,tm (Gyr),tm error,z
0,N,0.11,0.075,1.1,0.255,,33:08:52.6,330.5683924426568,9.071384470484787,188.4281,,1.4755017699601556,,,,,20121102A,-0.2218636408518302,174.87951717746836,23.73,,,05:31:58.70,-17.589554,37.336845,y,,,0.05,0.015,,,,,,,8.14,0.095,8.34,0.105,0.11,0.08,-0.62,0.065,5.71,1.11,0.1927
1,N,0.31,0.145,1.18,0.275,,04:40:15.8,576.3592993487354,9.604556339756584,151.7232,,10.311841535299225,,,,,20180301A,-6.389944632281037,204.33679033975602,21.21,,,06:12:54.44,43.622906,18.706226,y,,,1.91,0.595,,,,,,,9.64,0.11,9.84,0.125,-0.99,0.24,-0.33,0.045,4.34,1.195,0.3304
2,N,0.35,0.04,0.94,0.26,,65:43:00.3,56.016702982692934,9.23948757138991,198.9577,,10.872424659916788,,,,,20180916B,3.7250251486581134,129.71081848913505,16.17,,,01:58:00.75,-98.51883,38.940548,y,,,0.04,0.025,,,,,,,9.91,0.04,10.13,0.045,-1.8,0.115,0.18,0.18,7.73,1.04,0.0337
3,N,0.11,0.03,1.1,0.275,,-40:54:00.1,559.8171079358448,10.464486472161676,40.4972,,1.0288586030105829,,,,,20180924B,-49.4146765997659,0.7424375079477479,20.33,,,21:44:25.26,16.270138,5.001074,N,,,0.62,0.28,,,,,,,10.39,0.02,10.6,0.025,-0.14,0.04,0.03,0.08,5.63,0.64,0.3212
4,N,0.13,0.105,1.16,0.285,1.4095238095238096,-52:58:15.4,838.1361185422489,11.108542198224285,41.7196,29.028656005859375,1.14075345900077,0.8232555533345101,-290.59071854224896,11.166961458872859,589.265,20181112A,-47.69883646828747,342.59945326539616,21.68,0.9868123027504139,0.04214021302056724,21:49:23.63,16.184353,5.9444795,N,0.1170717853865164,0.05880555848622012,1.54,0.82,0.01376879933228329,0.00066915009970203,6.299639869673455e-05,6.237076408917847e-09,1.0735656774375106,0.04299554750052421,9.87,0.07,10.06,0.075,-0.19,0.295,-0.17,0.12,3.82,0.91,0.4755
5,N,0.2,0.155,1.09,0.29,,-79:28:32.5,505.965128004516,10.325863206360665,57.3996,,2.1113537240595193,,,,,20190102C,-33.4930605918429,312.6537414359947,20.77,,,21:29:39.76,26.641247,7.6683517,N,,,0.4,0.21,,,,,,,9.69,0.1,9.9,0.09,-1.15,0.38,-0.51,0.645,4.76,1.245,0.2912
6,N,0.15,0.125,1.18,0.3,,-11:17:17.3,417.6744266758829,8.283650274264803,60.2133,,3.178562274727716,,,,,20190520B,29.907416224361807,359.67262279747837,22.16,,,16:02:04.27,-12.483706,9.243451,y,,,0.04,0.03,,,,,,,9.08,0.085,9.3,0.095,-1.55,0.31,-0.681,0.5,5.27,1.17,0.2418
7,Y,0.08,0.02,1.09,0.215,,-07:53:53.7,199.48122424197513,9.401072816704938,37.2697,,0.557139828100231,,,,,20190608B,-48.529643758505316,53.208813228614936,17.41,,,22:16:04.77,-24.380014,13.266944,N,,,7.03,0.29,,,,,,,10.56,0.02,10.78,0.02,-0.03,0.04,0.02,0.05,7.13,0.955,0.1178
8,N,0.45,0.29,1.2,0.29,,-79:23:51.3,661.741209001299,8.757101458388666,57.8276,,2.2483481027337975,,,,,20190611B,-33.28183262790117,312.9351590134266,22.15,,,21:22:58.94,29.029251,10.750741,N,,,0.53,0.515,,,,,,,9.57,0.12,9.77,0.13,-0.84,0.545,0.0,0.265,4.45,1.16,0.3778
9,N,0.28,0.2,1.06,0.27,,-80:21:28.8,922.0977784671247,9.613678280014442,56.4874,,2.0780841501087806,,,,,20190711A,-33.9022402988189,310.9078255952107,23.54,,,21:57:40.62,19.44319,6.4810667,y,,,0.95,0.73,,,,,,,9.1,0.19,9.29,0.21,-0.99,0.535,,,3.54,1.16,0.522
