Index,FRB,RA,DEC,Galactic lat,Galactic lon,z,Repeater,Host magnitude (AB),log(MF/Mo),log(MF/Mo) error,log(Z*/Zo),log(Z*/Zo) error,"Av,old (mag)","Av,old error","Av,young (mag)","Av,young error",AGN,log(Zgas/Zo),log(Zgas/Zo) error,SFR 0-100 Myr (Mo yr-1),SFR error,log(M*/Mo),log(M*/Mo) error,tm (Gyr),tm error,DM_MW (NE2001),DM_MW error (NE2001),DM_MW (YMW16),DM_MW error (YMW16),DM_IGM,DM_IGM error,DM_obs (pc cm^-3),DM_ex (NE2001),DM_ex error (NE2001),RM_MW (rad/m^2),RM_MW error,Tau_SC (ms) (YMW16),Tau_SC error (YMW16),Scattering timescale (ms),Scattering timescale error,SC_ex,SC_ex error,Linear polarisation fraction,Linear polarisation fraction error,Total polarisation fraction,Total polarisation fraction error,Burst width (ms)
0,20121102A,05:31:58.70,33:08:52.6,-0.2218636408518302,174.87951717746836,0.1927,y,23.73,8.34,0.105,0.11,0.08,0.11,0.075,1.1,0.255,N,-0.62,0.065,0.05,0.015,8.14,0.095,5.71,1.11,188.4281,1.4755017699601556,,,330.5683924426568,9.071384470484787,,,,-17.589554,37.336845,,,,,,,,,,,
1,20180301A,06:12:54.44,04:40:15.8,-6.389944632281037,204.336790339756,0.3304,y,21.21,9.84,0.125,-0.99,0.24,0.31,0.145,1.18,0.275,N,-0.33,0.045,1.91,0.595,9.64,0.11,4.34,1.195,151.7232,10.311841535299225,,,576.3592993487354,9.604556339756584,,,,43.622906,18.706226,,,,,,,,,,,
2,20180916B,01:58:00.75,65:43:00.3,3.7250251486581134,129.71081848913505,0.0337,y,16.17,10.13,0.045,-1.8,0.115,0.35,0.04,0.94,0.26,N,0.18,0.18,0.04,0.025,9.91,0.04,7.73,1.04,198.9577,10.872424659916788,,,56.01670298269293,9.23948757138991,,,,-98.51883,38.940548,,,,,,,,,,,
3,20180924B,21:44:25.26,-40:54:00.1,-49.4146765997659,0.7424375079477479,0.3212,N,20.33,10.6,0.025,-0.14,0.04,0.11,0.03,1.1,0.275,N,0.03,0.08,0.62,0.28,10.39,0.02,5.63,0.64,40.4972,1.0288586030105829,,,559.8171079358448,10.464486472161676,,,,16.270138,5.001074,,,,,,,,,,,
4,20181112A,21:49:23.63,-52:58:15.4,-47.69883646828747,342.59945326539616,0.4755,N,21.68,10.06,0.075,-0.19,0.295,0.13,0.105,1.16,0.285,N,-0.17,0.12,1.54,0.82,9.87,0.07,3.82,0.91,41.7196,1.14075345900077,29.02865600585937,0.8232555533345101,838.1361185422489,11.108542198224283,589.265,-290.59071854224896,11.16696145887286,16.184353,5.9444795,6.299639869673455e-05,6.237076408917847e-09,0.0137687993322832,0.000669150099702,0.1170717853865164,0.0588055584862201,0.986812302750414,0.0421402130205672,1.0735656774375106,0.0429955475005242,1.4095238095238096
5,20190102C,21:29:39.76,-79:28:32.5,-33.4930605918429,312.6537414359947,0.2912,N,20.77,9.9,0.09,-1.15,0.38,0.2,0.155,1.09,0.29,N,-0.51,0.645,0.4,0.21,9.69,0.1,4.76,1.245,57.3996,2.1113537240595197,,,505.965128004516,10.325863206360664,,,,26.641247,7.6683517,,,,,,,,,,,
6,20190520B,16:02:04.27,-11:17:17.3,29.907416224361807,359.6726227974784,0.2418,y,22.16,9.3,0.095,-1.55,0.31,0.15,0.125,1.18,0.3,N,-0.681,0.5,0.04,0.03,9.08,0.085,5.27,1.17,60.2133,3.178562274727716,,,417.6744266758829,8.283650274264803,,,,-12.483706,9.243451,,,,,,,,,,,
7,20190608B,22:16:04.77,-07:53:53.7,-48.52964375850532,53.208813228614936,0.1178,N,17.41,10.78,0.02,-0.03,0.04,0.08,0.02,1.09,0.215,Y,0.02,0.05,7.03,0.29,10.56,0.02,7.13,0.955,37.2697,0.557139828100231,,,199.48122424197516,9.401072816704938,,,,-24.380014,13.266944,,,,,,,,,,,
8,20190611B,21:22:58.94,-79:23:51.3,-33.28183262790117,312.9351590134266,0.3778,N,22.15,9.77,0.13,-0.84,0.545,0.45,0.29,1.2,0.29,N,0.0,0.265,0.53,0.515,9.57,0.12,4.45,1.16,57.8276,2.248348102733797,,,661.741209001299,8.757101458388666,,,,29.029251,10.750741,,,,,,,,,,,
9,20190711A,21:57:40.62,-80:21:28.8,-33.9022402988189,310.9078255952107,0.522,y,23.54,9.29,0.21,-0.99,0.535,0.28,0.2,1.06,0.27,N,,,0.95,0.73,9.1,0.19,3.54,1.16,56.4874,2.078084150108781,,,922.0977784671248,9.613678280014442,,,,19.44319,6.4810667,,,,,,,,,,,
