Index,FRB,Survey/Facility,RA,DEC,Galactic lon,Galactic lat,z,Repeater,Host Magnitude [AB],Filter,Reference,z.1,log(MF/Mo),log(Z*/Zo),"Av,young (mag)","Av,old (mag)",AGN,log(Zgas/Zo),SFR 0-100 Myr (Mo yr-1),log(M*/Mo),tm (Gyr),DM_MW (NE2001),DM_MW error (NE2001),RM_MW (rad/m^2),RM_MW error,DM_IGM,DM_IGM error
0,20121102A,Arecibo/VLA/EVN,05:31:58.70,33:08:52.6,174.87951717746836,-0.2218636408518302,0.1927,y,23.73,GMOS-N r,12,0.1931,8.341,0.11,1.1,0.11,N,-0.62,0.05,8.14,5.71,188.4281,1.244443867887266,-17.589553833007812,37.33684539794922,330.5683924426568,9.285001989092823
1,20180301A,Parkes/VLA,06:12:54.44,04:40:15.8,204.33679033975602,-6.389944632281037,0.3304,y,21.21,NOT r,3,0.3305,9.84,-0.99,1.18,0.31,N,-0.33,1.91,9.641,4.34,151.7232,9.798173479424623,43.62290573120117,18.706226348876953,576.3592993487354,11.680689461525484
2,20180916B,CHIME/EVN,01:58:00.75,65:43:00.3,129.71081848913505,3.7250251486581134,0.0337,y,16.17,SDSS r,45,0.033,10.13,-1.8,0.94,0.35,N,0.18,0.041,9.91,7.73,198.9577,11.34756710970633,-98.51882934570312,38.940547943115234,56.016702982692934,9.173684143461928
3,20180924B,CRAFT,21:44:25.26,-40:54:00.1,0.7424375079477479,-49.4146765997659,0.3212,N,20.33,DECaLS r,"6, This Work",0.3212,10.6,-0.14,1.1,0.11,N,0.03,0.62,10.39,5.63,40.4972,0.8764398391979528,16.270137786865234,5.001073837280273,559.8171079358448,9.843533139320215
4,20181112A,CRAFT,21:49:23.63,-52:58:15.4,342.59945326539616,-47.69883646828747,0.4755,N,21.68,DES r,7,0.4755,10.06,-0.19,1.16,0.13,N,-0.17,1.54,9.871,3.82,41.7196,1.059239000210371,16.18435287475586,5.944479465484619,838.1361185422489,11.142755119903068
5,20190102C,CRAFT,21:29:39.76,-79:28:32.5,312.6537414359947,-33.4930605918429,0.2912,N,20.77,VLT/FORS2 I,"8, 10",0.2909,9.901,-1.15,1.09,0.2,N,-0.51,0.401,-9.69,4.76,57.3996,1.9048864137178012,26.641246795654297,7.668351650238037,505.965128004516,9.382475194846
6,20190520B,FAST/VLA,16:02:04.27,-11:17:17.3,359.67262279747837,29.907416224361807,0.2418,y,22.16,SOAR r,"9, This Work",0.2417,9.301,-1.55,1.18,0.15,N,-0.681,0.04,9.08,5.27,60.2133,3.028982226821413,-12.4837064743042,9.243451118469238,417.6744266758829,11.858910937627105
7,20190608B,CRAFT,22:16:04.77,-07:53:53.7,53.208813228614936,-48.529643758505316,0.1178,N,17.41,DECaLS r,"8, This Work",0.1178,10.78,-0.03,1.09,0.08,Y,0.02,7.03,10.56,7.13,37.2697,0.5549957711150201,-24.380014419555664,13.26694393157959,199.48122424197513,10.473479981647433
8,20190611B,CRAFT,21:22:58.94,-79:23:51.3,312.9351590134266,-33.28183262790117,0.3778,N,22.15,GMOS-S r,48,0.3778,9.77,-0.84,1.2,0.45,N,0.0,0.53,9.571,4.45,57.8276,1.88712442891883,29.029251098632812,10.750741004943848,661.741209001299,10.391409534714258
9,20190711A,CRAFT,21:57:40.62,-80:21:28.8,310.9078255952107,-33.9022402988189,0.522,y,23.54,GMOS-S r,48,0.5218,9.291,-0.99,1.06,0.28,N,,0.95,9.101,3.54,56.4874,2.4294933388786135,19.44318962097168,6.481066703796387,922.0977784671247,10.715244837702862
10,20190714A,CRAFT,12:15:55.13,-13:01:15.6,289.6971467267396,48.93586058291215,0.2365,N,20.34,Pan-STARRS  r,4,0.2365,10.42,-0.09,1.05,0.69,Y,0.12,1.89,10.22,5.48,38.4912,0.9314236734996357,-10.694193840026855,4.759557723999023,408.2369814609912,8.861166335882153
11,20191001A,CRAFT,21:33:24.31,-54:44:51.9,341.22750918361305,-44.90377106977975,0.234,N,18.36,DECaLS r,10,0.2342,10.92,-0.52,1.15,1.06,N,-0.08,18.28,10.73,3.89,44.1743,1.1825877006895604,23.454063415527344,4.295185089111328,403.78803671750813,9.596626680913733
12,20200430A,CRAFT,15:18:49.54,12:22:36.3,17.140189505649605,52.50320687281436,0.1608,N,21.05,DECaLS r,4,0.1607,9.51,-0.99,1.08,0.38,Y,-0.12,0.11,9.301,5.99,27.1822,0.6935533924812293,14.532624244689941,6.952796459197998,274.43198673084026,10.235303168370837
13,20200906A,CRAFT,03:33:59.08,-14:04:59.5,202.25771113000243,-49.99843278825946,0.3688,N,19.95,DES r,3,0.3688,10.57,-0.39,1.09,0.2,Y,-0.261,4.93,10.37,4.3,35.8366,0.5302966914745827,30.265077590942383,19.7794189453125,645.5130536624406,10.165368282864707
